timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
499999074,499997943,0.22959955,1.3949566e-05,-3.003316,5.6757274,0.17657858,5.579982,0
500019876,500017950,0.2300661,1.3846178e-05,-3.3606005,5.623662,0.22313723,5.533872,0
500039139,500037959,0.23063856,1.3743719e-05,-4.1240206,5.577141,0.33883443,5.506876,0
500049653,500048005,0.23089604,1.3640706e-05,-1.8671539,5.549477,0.06980164,5.481191,0
500069352,500067970,0.23118924,1.3542431e-05,-2.144223,5.5229874,0.092496075,5.428255,0
500099364,500097992,0.23142509,1.3447825e-05,-1.7261947,5.4694724,0.060532924,5.355498,0
500119277,500117992,0.23184876,1.33475705e-05,-3.0339427,5.3977294,0.18947902,5.306466,0
500139285,500137999,0.23245369,1.3246813e-05,-4.302015,5.3488317,0.38445222,5.2872214,0
500159370,500158007,0.23309733,1.31448105e-05,-4.5427217,5.330262,0.43017104,5.2756977,0
500179306,500178016,0.23366302,1.3041362e-05,-3.9618638,5.31957,0.32785368,5.2437034,0
500189423,500188018,0.23431508,1.2935346e-05,-4.551689,5.2876935,0.43534786,5.2373323,0
500209266,500208026,0.23499595,1.28312995e-05,-4.738497,5.2818427,0.47233838,5.2305007,0
500229337,500228034,0.23566255,1.2725466e-05,-4.599256,5.276057,0.44547486,5.2165804,0
500249427,500248044,0.23620719,1.2616883e-05,-3.707528,5.263543,0.29016712,5.176046,0
500279746,500278055,0.23681511,1.2509065e-05,-4.0915565,5.223764,0.35608286,5.128245,0
500299347,500298063,0.23730218,1.2402942e-05,-3.3236527,5.174192,0.23721723,5.0815215,0
500319405,500318071,0.23791839,1.229897e-05,-4.226515,5.126546,0.38716623,5.0530477,0
500339707,500338079,0.23869668,1.219835e-05,-5.4064236,5.096801,0.63720614,5.0698347,0
500359380,500358151,0.23948637,1.2102233e-05,-5.6144695,5.112202,0.68512046,5.094594,0
500369775,500368092,0.2400012,1.2007664e-05,-3.7451096,5.135772,0.30344555,5.073433,0
500389409,500388142,0.2406809,1.1919615e-05,-5.038193,5.1130433,0.5516043,5.068163,0
500409341,500408105,0.24144389,1.183513e-05,-5.764015,5.1064787,0.7229132,5.095272,0
500429521,500428115,0.24196745,1.1754829e-05,-4.0611024,5.132248,0.35705712,5.056663,0
500449255,500448123,0.24232286,1.1677865e-05,-2.8012843,5.0921555,0.1712262,5.00721,0
500479368,500478135,0.24293916,1.1601954e-05,-4.7920203,5.04321,0.50592685,4.9792056,0
500499363,500498144,0.24349453,1.1522457e-05,-4.278826,5.0157204,0.40557712,4.9449787,0
500509249,500508148,0.24408121,1.1441043e-05,-4.5201497,4.981248,0.45574823,4.9309354,0
500529238,500528157,0.24461608,1.136376e-05,-4.1553535,4.9666405,0.38628757,4.8936105,0
500549829,500548165,0.24520527,1.1287504e-05,-4.58884,4.9288387,0.47469944,4.8666883,0
500569581,500568195,0.24580744,1.1212032e-05,-4.699485,4.9016213,0.5006316,4.8423567,0
500589422,500588180,0.24628337,1.1137505e-05,-3.727065,4.8769317,0.3164789,4.797951,0
500609586,500608194,0.24659976,1.1064114e-05,-2.4839573,4.8319464,0.1418808,4.7550073,0
500629432,500628196,0.24699217,1.0990931e-05,-3.0710878,4.7888317,0.21883278,4.708306,0
500649302,500648206,0.24750693,1.0917347e-05,-3.9987566,4.7421975,0.3746518,4.668871,0
500669308,500668213,0.24793881,1.0844769e-05,-3.362409,4.7022705,0.26714742,4.623342,0
500689326,500688226,0.24843556,1.0772989e-05,-3.8683255,4.6562943,0.35707796,4.582523,0
500709297,500708232,0.24909681,1.07014175e-05,-5.1336937,4.6153126,0.6344776,4.573371,0
