t,angle
89.106181,-16.5521613651509
89.116182,-16.5483053103664
89.126181,-16.3338891046775
89.136182,-16.539179167181
89.146207,-16.3074405572525
89.156188,-16.5103835228141
89.166212,-16.5520423695559
89.176192,-16.5554030848796
89.186183,-16.3509638570584
89.196183,-16.3287353356014
89.206181,-16.3410805014398
89.216182,-16.6350614191476
89.226181,-16.4855129176988
89.236182,-16.540482239802
89.246185,-16.8435557591441
89.256218,-16.9202984337683
89.266181,-16.7668543125049
89.276184,-17.0801312739564
89.286195,-17.1776140233622
89.296182,-17.2535425284852
89.306182,-17.5167656002276
89.316182,-17.4852975670364
89.326181,-17.6227571731018
89.336181,-17.9571231919243
89.346184,-17.8214287770045
89.356181,-18.1763490680056
89.366182,-18.2531347251237
89.376181,-18.3267674846208
89.386182,-18.362819209848
89.396181,-18.4449391323939
89.406181,-18.261493920477
89.416183,-18.5163848303277
89.426183,-18.4334774411176
89.436181,-18.7314208805374
89.446214,-18.5868913443388
89.456183,-18.7538225115736
89.466181,-19.0929277677347
89.476182,-18.9848354582526
89.486209,-19.1058931250306
89.496185,-19.4058741497003
89.506182,-19.63352578448
89.516181,-19.76731769861
89.526181,-19.835314397158
89.536183,-19.9856298206185
89.546181,-20.1380363242045
89.556183,-20.2998122935726
89.566182,-20.2285341007238
89.576183,-20.562181861571
89.586181,-20.7371956627375
89.596181,-20.8834345152268
89.606182,-20.8123511996471
89.616183,-21.1626556219696
89.626181,-21.2987481987265
89.636183,-21.4243871052051
89.646183,-21.5722623733757
89.656182,-21.7424743312902
89.666181,-21.8182082573875
89.676201,-22.0412026941784
89.686187,-22.2373766994507
89.696183,-22.1715203055825
89.706211,-22.5289076751725
89.716191,-22.6540553141576
89.726287,-22.8422895279345
89.736257,-22.9723125059279
89.746243,-23.1609985205147
89.756219,-23.3295035203968
89.766199,-23.2558535407273
89.776185,-23.6280850120305
89.786182,-23.7654633689956
89.796182,-23.9289149539634
89.806181,-24.0607916851839
89.816182,-23.9669190408681
89.826182,-24.3443522357892
89.836182,-24.5118520536343
89.846187,-24.4353666836697
89.856182,-24.7728494718073
89.866181,-24.9076167474457
89.876192,-24.7767062941232
89.886187,-25.0919996183034
89.896182,-25.2041983740086
89.906182,-25.2985078924654
89.916182,-25.4282035886957
89.926183,-25.5220660965702
89.936183,-25.5988826532637
89.946183,-25.7317050518509
89.956183,-25.8599703988637
89.966186,-25.7461444457049
89.976206,-26.0289221214654
89.986181,-26.1227840654472
89.996182,-25.9901779758236
90.006181,-26.1595150775295
90.016182,-26.3873612022688
90.026185,-26.2717544893858
90.036182,-26.5890549865287
90.046182,-26.4573285970278
90.056182,-26.6829089599926
90.066182,-26.9450406176141
90.076201,-26.776429381662
90.086186,-27.1518412675433
90.096182,-27.2460315863346
90.106181,-27.0958657570865
90.116183,-27.4337386624858
90.126181,-27.2835730202969
90.136183,-27.6402161750145
90.146182,-27.7146269973051
90.156185,-27.8088099578541
90.166182,-27.9402033705783
90.176209,-28.0715966740565
90.186197,-28.0528262088324
90.196181,-27.8654640447904
90.206181,-28.2971881719858
90.216211,-28.4275741514558
90.226198,-28.5780612182285
90.236214,-28.6725994263691
90.246217,-28.7091260091344
90.256182,-28.7661023069318
90.266182,-28.8974949160694
90.276181,-28.8430477827689
90.286181,-28.8234977256341
90.296181,-28.9173518110371
90.306184,-29.0097766537291
90.316182,-29.4032980754047
90.326188,-29.2913295899092
90.336183,-29.6298937299638
90.346183,-29.7800569632302
90.356182,-29.8534631634238
90.366182,-29.6466964532137
90.376189,-29.6842357418526
90.386186,-30.0408586590112
90.396184,-30.1156463065977
90.406184,-30.2089457196299
90.416184,-30.2845717108263
90.426258,-30.4722664600312
90.436186,-30.5676967878117
90.446183,-30.6236666648099
90.456183,-30.5846013866743
90.466185,-30.6599610567152
90.476183,-30.9045660004981
90.486184,-30.7900490457296
90.496182,-31.1096087274834
90.506183,-30.9782247704362
90.516182,-31.0911006798614
90.526184,-31.3158187326676
90.536184,-31.3716599353039
90.546182,-31.44745291987
90.556182,-31.5222780461567
90.566215,-31.5788366676326
90.576199,-31.391408096647
90.586183,-31.7660347323241
90.596184,-31.8596503569354
90.606184,-31.7292535392645
90.616188,-31.8598793688664
90.626186,-32.1789509465503
90.636185,-32.0469151149922
90.646184,-32.21603992106
90.656184,-32.2911149751621
90.666183,-32.5916348495415
90.676185,-32.6854789156077
90.686183,-32.5538775622582
90.696182,-32.5921105411807
90.706184,-32.6479412919107
90.716184,-32.9484753221978
90.726184,-33.0423196420205
90.736192,-33.1732458848995
90.746184,-33.0416555655964
90.756219,-33.3044168526503
90.766231,-33.3607228240432
90.776225,-33.4170287888272
90.786194,-33.4545660950087
90.796182,-33.2483207724237
90.80619,-33.5296406985459
90.816224,-33.6047152903042
90.82619,-33.6422525817622
90.836187,-33.5108720487654
90.84621,-33.773433799045
90.856204,-33.6985585134182
90.866188,-33.8672767202348
90.876184,-33.9421635703454
90.886186,-33.9611196250707
90.896184,-33.9797006293427
90.906183,-33.7922023845902
90.916184,-34.0360062135281
90.926183,-34.0921362330966
90.936187,-34.1670467287958
90.946304,-34.204747100689
90.95624,-34.2235155768682
90.966213,-34.2608888979131
90.976225,-34.3175340567296
90.986213,-34.3173579502444
90.996194,-34.4299687817349
91.006186,-34.5048784871353
91.016187,-34.5615247491045
91.026214,-34.5802932598516
91.03621,-34.4112003110755
91.046188,-34.6553672970442
91.056183,-34.5052192133881
91.066183,-34.542945268719
91.076184,-34.8053380892158
91.086185,-34.8618208514452
91.096186,-34.8987226519816
91.106184,-34.7673442122031
91.116189,-34.9739363058874
91.126209,-35.0114730646726
91.136213,-35.0677782000759
91.146244,-34.9362593462794
91.156239,-35.2928578803058
91.166242,-35.3679312416122
91.176246,-35.4617729362463
91.186259,-35.3120863336714
91.19625,-35.4054679203995
91.206275,-35.6119196314647
91.216224,-35.7062236010704
91.226256,-35.7246711996802
91.236212,-35.536987531992
91.24624,-35.8186673203978
91.256214,-35.6119196314647
91.26632,-35.6119196314647
91.276324,-35.8937409032497
91.286324,-35.7246711996802
91.296345,-35.9312776920352
91.306352,-35.7809762927143
91.316328,-36.062501707436
91.3263,-36.100038423037
91.336338,-36.1563434936276
