timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
17206613,-0.07813393,-5.706948e-05,-0.23068433
17217883,-0.07813393,-5.706948e-05,-0.23068433
17229143,-0.07813393,-5.706948e-05,-0.23068433
17240409,-0.07813393,-5.706948e-05,-0.23068433
17251586,-0.07813393,-5.706948e-05,-0.2338293
17262903,-0.07813393,-5.706948e-05,-0.23068433
17274151,-0.07813393,-5.706948e-05,-0.22753938
17285334,-0.07813393,-5.706948e-05,-0.22753938
17296648,-0.07813393,-5.706948e-05,-0.2338293
17307897,-0.08110753,-5.706948e-05,-0.2338293
17319723,-0.07813393,-5.706948e-05,-0.22753938
17330948,-0.07813393,-5.706948e-05,-0.23068433
17342151,-0.08110753,-5.706948e-05,-0.23068433
17353331,-0.07813393,-5.706948e-05,-0.23068433
17364481,-0.08110753,-5.706948e-05,-0.22753938
17375672,-0.07813393,-5.706948e-05,-0.2338293
17386817,-0.07813393,-5.706948e-05,-0.23068433
17397963,-0.07813393,-5.706948e-05,-0.2338293
17409121,-0.07516035,-5.706948e-05,-0.23068433
17420431,-0.07813393,-5.706948e-05,-0.23068433
17431671,-0.08110753,-5.706948e-05,-0.2338293
17442861,-0.07813393,-5.706948e-05,-0.2338293
17454171,-0.07813393,-5.706948e-05,-0.23068433
17465407,-0.08110753,-5.706948e-05,-0.23068433
17476615,-0.07813393,-5.706948e-05,-0.23068433
17487890,-0.08110753,-5.706948e-05,-0.22753938
17499211,-0.07813393,-5.706948e-05,-0.23068433
17510399,-0.07813393,-5.706948e-05,-0.2338293
17521661,-0.07813393,-5.706948e-05,-0.2338293
17532942,-0.07813393,-5.706948e-05,-0.2338293
17544198,-0.07813393,-5.706948e-05,-0.23068433
17555451,-0.07813393,-5.706948e-05,-0.23068433
17566680,-0.07813393,-5.706948e-05,-0.2338293
17578490,-0.07813393,-5.706948e-05,-0.23068433
17589658,-0.07813393,-5.706948e-05,-0.23697425
17600798,-0.07813393,-5.706948e-05,-0.2338293
17611987,-0.07813393,-5.706948e-05,-0.2338293
17623133,-0.07813393,-5.706948e-05,-0.23068433
17634291,-0.07813393,-5.706948e-05,-0.2338293
17645433,-0.07813393,-5.706948e-05,-0.22753938
17656638,-0.07813393,-5.706948e-05,-0.23068433
17667966,-0.08110753,-5.706948e-05,-0.23068433
17679155,-0.07813393,-5.706948e-05,-0.23068433
17690404,-0.07516035,-5.706948e-05,-0.23068433
17701697,-0.07813393,-5.706948e-05,-0.22753938
17712947,-0.07813393,-5.706948e-05,-0.22753938
17725011,-0.07813393,-5.706948e-05,-0.2338293
17736278,-0.07813393,-5.706948e-05,-0.2338293
17747535,-0.07813393,-5.706948e-05,-0.22753938
17758797,-0.07813393,-5.706948e-05,-0.2338293
17770060,-0.07813393,-5.706948e-05,-0.23068433
17781257,-0.07813393,-5.706948e-05,-0.23068433
17792541,-0.07813393,-5.706948e-05,-0.23068433
17803866,-0.07813393,-5.706948e-05,-0.22753938
17815017,-0.08110753,-5.706948e-05,-0.23068433
17826267,-0.07813393,-5.706948e-05,-0.2401192
17837653,-0.08110753,-5.706948e-05,-0.2338293
17848810,-0.07813393,-5.706948e-05,-0.2338293
17860018,-0.07813393,-5.706948e-05,-0.23697425
17871432,-0.08110753,-5.706948e-05,-0.23697425
17882639,-0.07813393,-5.706948e-05,-0.23068433
