timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
32891035,32891035,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32898988,32898988,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32911020,32911020,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32923002,32923002,127,5,0,0,1501,1500,1555,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32935404,32935404,127,5,0,0,1501,1500,1555,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32942999,32942999,127,5,0,0,1501,1500,1571,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32955398,32955398,127,5,0,0,1501,1500,1571,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32966977,32966977,127,5,0,0,1501,1500,1584,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32975384,32975384,127,5,0,0,1501,1500,1584,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32986977,32986977,127,5,0,0,1501,1500,1589,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32999042,32999042,127,5,0,0,1501,1500,1589,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
33010980,33010980,127,5,0,0,1501,1500,1599,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
33022985,33022985,127,5,0,0,1501,1500,1599,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
33030977,33030977,127,5,0,0,1501,1500,1605,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
33042977,33042977,127,5,0,0,1501,1500,1605,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
