timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
278623124,-3.1001143,0.042639498,-3.10279,-3.0233493,-2.3213003,2.1149411,3.0538666,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278633129,-3.1006238,0.042640578,-3.103301,-3.0238526,-2.3222344,2.1144674,3.053359,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278643132,-3.1022158,0.042641748,-3.1048927,-3.0254421,-2.323885,2.1128602,3.0517619,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278653190,-3.1036494,0.042642906,-3.1063266,-3.026873,-2.3253696,2.1114156,3.050323,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278663151,-3.1044054,0.042644016,-3.1070826,-3.0276275,-2.326156,2.110652,3.0495634,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278673146,-3.1062834,0.042645235,-3.1089606,-3.0295017,-2.3280966,2.1087627,3.0476792,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278683151,-3.1074204,0.04264638,-3.1100976,-3.0306363,-2.3292716,2.1076193,3.0465379,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278693155,-3.1088402,0.04264757,-3.1115177,-3.0320528,-2.330736,2.1061947,3.0451126,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278703159,-3.1108658,0.042648807,-3.1135435,-3.0340738,-2.332821,2.1041636,3.0430803,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278713164,-3.111783,0.04264993,-3.114461,-3.0349886,-2.3337638,2.1032453,3.0421603,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278723168,-3.1135242,0.042651143,-3.1162024,-3.0367255,-2.3355525,2.101503,3.0404134,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278733172,-3.1148658,0.042652305,-3.1175442,-3.0380635,-2.3369284,2.100162,3.0390677,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278743198,-3.115867,0.042653427,-3.1185455,-3.0390623,-2.3379536,2.0991619,3.038064,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278753191,-3.1179328,0.04265463,-3.120612,-3.0411234,-2.3400702,2.097097,3.035993,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278763213,-3.1186757,0.04265571,-3.121355,-3.0418646,-2.3408287,2.096356,3.0352485,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278773199,-3.1199875,0.04265684,-3.1226673,-3.0431733,-2.3421693,2.095047,3.0339339,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278783196,-3.1213543,0.042657953,-3.1240344,-3.044537,-2.3435662,2.093682,3.0325649,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278793201,-3.1219316,0.04265899,-3.1246119,-3.0451133,-2.344153,2.0931072,3.0319872,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278803205,-3.1235626,0.042660117,-3.1262434,-3.046741,-2.3458176,2.0914798,3.030354,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278813212,-3.1244104,0.042661145,-3.1270914,-3.0475876,-2.3466816,2.0906332,3.0295062,0.20438036,0.15616763,-0.26867712,0.045899212,0.21708381,-0.006252587,0.06791431,0.44341213,-0.779607,-0.076931655,0.7655066,0.15693937,6.0791583e-05,6.0791583e-05,0.07743243
278823213,-3.1277504,0.0405201,-3.1300125,-3.0546618,-2.3772702,2.1211467,3.0304637,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
278833223,-3.129174,0.04052139,-3.1314383,-3.0560722,-2.3794434,2.1197813,3.029037,0.15537906,0.11835215,-0.29372218,-0.22408718,0.15253264,0.06212926,0.15869188,0.7332291,-0.8624921,-0.031989932,0.7660646,0.15625864,6.0945742e-05,6.0945742e-05,0.077555
