timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
259074256,-33.93858675104017,18.87416568825665,132.22014,158.35602,-0.0,1.0875933,1.4081019,132.13454,2,0,1,0
259084314,-33.938586748934604,18.874165690936074,132.22081,158.35669,-0.0,1.0878199,1.4082739,132.13493,2,0,1,0
259094270,-33.9385867467851,18.87416569326143,132.22144,158.35732,-0.0,1.0880485,1.4084467,132.13531,2,0,1,0
259104270,-33.93858674458842,18.874165695243697,132.22218,158.35806,-0.0,1.088279,1.4075756,132.13931,2,0,1,0
259114274,-33.938586742319906,18.874165696947493,132.2229,158.35878,-0.0,1.0885117,1.4077471,132.13963,2,0,1,0
259124279,-33.93858674003103,18.874165698429024,132.22357,158.35945,-0.0,1.0887464,1.4079192,132.13991,2,0,1,0
259134283,-33.93858673769819,18.87416569983173,132.2242,158.36008,-0.0,1.0889832,1.4080919,132.14018,2,0,1,0
259144288,-33.9385867353332,18.874165701291297,132.2248,158.36067,-0.0,1.089222,1.4082652,132.14044,2,0,1,0
259154292,-33.938586732937104,18.874165702942758,132.22534,158.36122,-0.0,1.089463,1.4084392,132.1407,2,0,1,0
259164297,-33.93858673051529,18.874165704828755,132.22586,158.35985,-0.0,1.0897062,1.4086138,132.14095,2,0,1,0
259174304,-33.938586728050595,18.874165707004856,132.22635,158.36034,-0.0,1.0899514,1.4087892,132.14116,2,0,1,0
259184306,-33.93858672553014,18.874165709344425,132.22707,158.36105,-0.0,1.0901988,1.4079103,132.1481,2,0,1,0
259194310,-33.93858672295395,18.87416571177122,132.22772,158.36171,-0.0,1.0904484,1.4080844,132.14828,2,0,1,0
259204315,-33.938586720359524,18.87416571424001,132.22835,158.36234,-0.0,1.0907001,1.4082589,132.14844,2,0,1,0
259214321,-33.93858671616771,18.874165714686473,132.22913,158.36311,-0.0,1.0862565,1.4074033,132.1529,2,0,1,0
259224324,-33.93858671197483,18.874165715211113,132.22986,158.36385,-0.0,1.0864712,1.4075724,132.15302,2,0,1,0
259234329,-33.93858670771655,18.874165715903096,132.23056,158.36455,-0.0,1.0866878,1.4077421,132.15314,2,0,1,0
259244338,-33.93858670336286,18.87416571678181,132.2312,158.36519,-0.0,1.0869064,1.4079125,132.15324,2,0,1,0
259254338,-33.93858669886442,18.874165717814297,132.23181,158.3658,-0.0,1.087127,1.4080833,132.15334,2,0,1,0
259264342,-33.93858669419448,18.874165718910746,132.23236,158.36635,-0.0,1.0873494,1.408255,132.1534,2,0,1,0
259274392,-33.938586689328325,18.874165719989104,132.23314,158.36713,-0.0,1.0875739,1.4073886,132.16031,2,0,1,0
259284370,-33.93858668434746,18.874165720979594,132.23387,158.36786,-0.0,1.0878004,1.4075589,132.16032,2,0,1,0
259294359,-33.93858667928084,18.874165721860887,132.23456,158.36855,-0.0,1.0880289,1.4077299,132.16034,2,0,1,0
259304390,-33.938586674107,18.87416572267628,132.23521,158.3692,-0.0,1.0882593,1.4079015,132.16034,2,0,1,0
259314372,-33.93858666887099,18.87416572347358,132.23584,158.36983,-0.0,1.0884919,1.4080738,132.16031,2,0,1,0
259324370,-33.938586663459155,18.874165724352938,132.23647,158.37045,-0.0,1.0887265,1.4082466,132.16026,2,0,1,0
259334375,-33.93858665784577,18.87416572539447,132.23706,158.37105,-0.0,1.0889632,1.4084202,132.16022,2,0,1,0
259344379,-33.9385866519665,18.874165726627893,132.23763,158.37161,-0.0,1.0892019,1.4085944,132.16016,2,0,1,0
259354383,-33.938586645814944,18.874165728075827,132.23817,158.37216,-0.0,1.0894427,1.4087691,132.16008,2,0,1,0
259364388,-33.93858663938143,18.87416572968852,132.23897,158.37077,-0.0,1.0896857,1.4078906,132.16663,2,0,1,0
259374392,-33.93858663266166,18.874165731403945,132.23973,158.37154,-0.0,1.0899308,1.408064,132.16655,2,0,1,0
259384397,-33.93858662562991,18.87416573326022,132.24048,158.37228,-0.0,1.090178,1.4082382,132.16647,2,0,1,0
259394401,-33.93858661829906,18.87416573524766,132.24123,158.37303,-0.0,1.0904274,1.408413,132.16638,2,0,1,0
259404448,-33.93858661065839,18.874165737443143,132.24196,158.37376,-0.0,1.090679,1.4085884,132.16629,2,0,1,0
259414408,-33.93858660665634,18.874165742150065,132.24263,158.37444,-0.0,1.0862393,1.4077238,132.16487,2,0,1,0
259424416,-33.93858660216863,18.87416574710509,132.2433,158.3751,-0.0,1.086454,1.4078935,132.16473,2,0,1,0
259434419,-33.93858659724459,18.874165752323087,132.24396,158.37576,-0.0,1.0866708,1.4080641,132.16455,2,0,1,0
259444425,-33.9385865918885,18.874165757754298,132.24486,158.37666,-0.0,1.0868893,1.4072022,132.17033,2,0,1,0
259454429,-33.93858658610573,18.874165763353496,132.24573,158.37753,-0.0,1.0871097,1.4073715,132.1701,2,0,1,0
259464434,-33.93858657995523,18.87416576904509,132.24657,158.37837,-0.0,1.0873321,1.4075414,132.16986,2,0,1,0
259474438,-33.938586573457385,18.874165774703084,132.2474,158.37921,-0.0,1.0875565,1.4077119,132.1696,2,0,1,0
259484443,-33.93858656663363,18.87416578030099,132.24825,158.38005,-0.0,1.0877829,1.407883,132.16936,2,0,1,0
259494447,-33.93858655948825,18.874165785834933,132.24907,158.38087,-0.0,1.0880113,1.4080548,132.16913,2,0,1,0
259504451,-33.93858655201589,18.874165791343675,132.2499,158.3817,-0.0,1.0882417,1.4082272,132.1689,2,0,1,0
259514456,-33.938586544241204,18.874165796949338,132.25069,158.38249,-0.0,1.0884742,1.4084003,132.1687,2,0,1,0
259524461,-33.93858653616634,18.874165802739785,132.25148,158.38329,-0.0,1.0887088,1.408574,132.1685,2,0,1,0
259534467,-33.93858652778163,18.874165808778983,132.25252,158.38432,-0.0,1.0889453,1.4077001,132.17511,2,0,1,0
259544470,-33.93858651913106,18.87416581508826,132.25352,158.38533,-0.0,1.0891839,1.4078726,132.17496,2,0,1,0
259554474,-33.93858651019103,18.874165821619798,132.2545,158.3863,-0.0,1.0894247,1.4080455,132.17482,2,0,1,0
259564479,-33.93858650101943,18.874165828389103,132.25546,158.38448,-0.0,1.0896677,1.4082192,132.1747,2,0,1,0
259574484,-33.93858649166021,18.87416583535935,132.25638,158.38539,-0.0,1.0899127,1.4083936,132.1746,2,0,1,0
259584488,-33.93858648213053,18.874165842479496,132.25728,158.38629,-0.0,1.0901598,1.4085686,132.17455,2,0,1,0
259594493,-33.938586472476494,18.87416584980123,132.25813,158.38715,-0.0,1.0904092,1.4087442,132.1745,2,0,1,0
259604497,-33.938586462699185,18.87416585723926,132.25896,158.38797,-0.0,1.0906607,1.4089204,132.17448,2,0,1,0
259614501,-33.938586455695315,18.874165866105198,132.26012,158.38913,-0.0,1.0862235,1.4080466,132.18332,2,0,1,0
259624529,-33.938586448473814,18.874165874881324,132.26163,158.39064,-0.0,1.0864382,1.4071848,132.19334,2,0,1,0
259634511,-33.938586441093655,18.874165883439712,132.26309,158.3921,-0.0,1.0866549,1.4073536,132.19337,2,0,1,0
259644516,-33.938586433472274,18.874165891892783,132.26451,158.39352,-0.0,1.0868735,1.407523,132.19342,2,0,1,0
259654521,-33.93858642562682,18.87416590019467,132.26587,158.39488,-0.0,1.0870941,1.407693,132.19348,2,0,1,0
259664525,-33.93858641758198,18.87416590847523,132.2672,158.39621,-0.0,1.0873165,1.4078637,132.19356,2,0,1,0
259674530,-33.93858640943635,18.874165916771943,132.26848,158.39749,-0.0,1.087541,1.408035,132.19365,2,0,1,0
259684534,-33.93858640117815,18.87416592495494,132.26973,158.39874,-0.0,1.0877675,1.4082069,132.19376,2,0,1,0
259694539,-33.93858639278702,18.874165933003546,132.27094,158.39995,-0.0,1.087996,1.4083796,132.19386,2,0,1,0
259704544,-33.93858638418148,18.874165940907424,132.27238,158.4014,-0.0,1.0882264,1.4075104,132.20111,2,0,1,0
259714548,-33.93858637543442,18.87416594873958,132.27379,158.4028,-0.0,1.088459,1.4076817,132.20125,2,0,1,0
259724604,-33.93858636661445,18.874165956547838,132.27513,158.40414,-0.0,1.0886936,1.4078537,132.2014,2,0,1,0
259734586,-33.93858635782023,18.874165964261113,132.27644,158.40546,-0.0,1.0889302,1.4080262,132.20154,2,0,1,0
259744569,-33.938586348805146,18.87416597191559,132.27771,158.40672,-0.0,1.089169,1.4081994,132.2017,2,0,1,0
259754566,-33.93858633961318,18.87416597955456,132.27893,158.40451,-0.0,1.0894098,1.4083734,132.20186,2,0,1,0
259764570,-33.93858633037404,18.874165987171565,132.28012,158.4057,-0.0,1.0896528,1.4085479,132.202,2,0,1,0
259774575,-33.938586320981585,18.874165994757558,132.28125,158.40683,-0.0,1.0898978,1.408723,132.20212,2,0,1,0
259784585,-33.938586311500146,18.874166002330625,132.28233,158.4079,-0.0,1.0901449,1.4088988,132.20226,2,0,1,0
259794584,-33.93858630200693,18.87416600997089,132.28368,158.40924,-0.0,1.0903943,1.4080173,132.20963,2,0,1,0
259804588,-33.93858629230894,18.874166017773327,132.28494,158.41052,-0.0,1.0906457,1.4081918,132.20975,2,0,1,0
259814593,-33.93858628258523,18.87416602828168,132.28616,158.41174,-0.0,1.0862037,1.4073375,132.20934,2,0,1,0
259824598,-33.93858627271784,18.874166038870797,132.28734,158.4129,-0.0,1.0864184,1.4075065,132.20944,2,0,1,0
260394857,-33.93858546411281,18.874166639503454,132.36179,158.47418,-0.0,1.0903199,1.4090066,132.2831,2,0,1,0
260404864,-33.9385854452861,18.87416665393822,132.36395,158.47635,-0.0,1.0905707,1.4081224,132.2831,2,0,1,0
260414867,-33.93858543124942,18.87416667040824,132.36575,158.47815,-0.0,1.0861377,1.4072696,132.2831,2,0,1,0
260424872,-33.93858541714306,18.874166687254945,132.36754,158.47993,-0.0,1.086352,1.4074384,132.2831,2,0,1,0
260434877,-33.938585402489934,18.87416670455974,132.36923,158.48163,-0.0,1.0865682,1.4076079,132.2831,2,0,1,0
260444881,-33.938585387554866,18.874166721955635,132.37082,158.48322,-0.0,1.0867864,1.407778,132.2831,2,0,1,0
260514912,-33.93858527278495,18.874166850082062,132.38388,158.49628,-0.0,1.088368,1.4079388,132.2831,2,0,1,0
260524923,-33.93858525478159,18.87416686882187,132.38586,158.49826,-0.0,1.088602,1.4081115,132.2831,2,0,1,0
260534922,-33.938585236091036,18.874166887436978,132.38765,158.50005,-0.0,1.088838,1.4082848,132.2831,2,0,1,0
260544936,-33.93858521724611,18.87416690613673,132.38934,158.50174,-0.0,1.089076,1.4084586,132.2831,2,0,1,0
260554942,-33.93858519830789,18.874166924899797,132.39102,158.50342,-0.0,1.0893161,1.4086331,132.2831,2,0,1,0
260564935,-33.938585179026624,18.874166943965243,132.39265,158.49977,-0.0,1.0895584,1.4088084,132.2831,2,0,1,0
260574940,-33.93858515939586,18.874166962867225,132.3951,158.50221,-0.0,1.0898027,1.407929,132.2831,2,0,1,0
260584945,-33.93858513943275,18.874166981630292,132.39735,158.50447,-0.0,1.0900491,1.4081028,132.2831,2,0,1,0
260594984,-33.93858511916196,18.87416700051418,132.39944,158.50656,-0.0,1.0902977,1.4082774,132.2831,2,0,1,0
260604953,-33.93858509935537,18.874167019244943,132.40157,158.50868,-0.0,1.0905485,1.4084525,132.2831,2,0,1,0
260614958,-33.93858508340183,18.874167040830226,132.40358,158.5107,-0.0,1.0861279,1.4075907,132.2831,2,0,1,0
260624962,-33.93858506701837,18.87416706237351,132.40547,158.51259,-0.0,1.086342,1.4077603,132.2831,2,0,1,0
260635011,-33.93858505029079,18.874167083784343,132.4073,158.51442,-0.0,1.0865581,1.4079306,132.2831,2,0,1,0
260644989,-33.93858503346136,18.87416710464727,132.40903,158.51614,-0.0,1.0867761,1.4081014,132.2831,2,0,1,0
260654975,-33.938585016218106,18.874167125512137,132.41154,158.51866,-0.0,1.0869961,1.4072388,132.2831,2,0,1,0
260664981,-33.938584999177465,18.874167146496536,132.41403,158.52115,-0.0,1.087218,1.4074085,132.2831,2,0,1,0
260674989,-33.93858498219152,18.874167167125574,132.41649,158.5236,-0.0,1.0874419,1.4075787,132.2831,2,0,1,0
260684991,-33.938584964954686,18.87416718760859,132.41887,158.52599,-0.0,1.0876677,1.4077495,132.2831,2,0,1,0
